"Product","Mean","Median","Date"
".",2.775175,2.65,"1996-12-01"
"Women's hair'",14.27635,13.5,"1997-01-01"
"Men's hair'",7.185662,6,"1997-01-01"
".",2.797477,2.7,"1997-01-01"
"Oil",3.830298,3.99,"1997-01-01"
"Men's hair'",7.215876,6,"1997-02-01"
".",2.822017,2.7,"1997-02-01"
"Women's hair'",14.35404,13.825,"1997-02-01"
"Softback book",6.6081,6.99,"1997-02-01"
"Oil",3.9054,3.99,"1997-02-01"
"Hardback book",13.23626,12.99,"1997-02-01"
"Softback book",6.709691,6.99,"1997-03-01"
"Men's hair'",7.174727,6,"1997-03-01"
"Hardback book",13.27607,12.99,"1997-03-01"
"Women's hair'",14.42906,13.95,"1997-03-01"
"Oil",3.920206,3.99,"1997-03-01"
".",2.787455,2.7,"1997-03-01"
"Oil",3.93998,3.99,"1997-04-01"
"Women's hair'",14.34935,13.9,"1997-04-01"
"Softback book",6.836078,6.99,"1997-04-01"
"Men's hair'",7.204874,6,"1997-04-01"
".",2.796875,2.7,"1997-04-01"
"Hardback book",13.73663,12.99,"1997-04-01"
"Oil",3.954768,3.99,"1997-05-01"
"Women's hair'",14.57847,14,"1997-05-01"
"Men's hair'",7.262774,6,"1997-05-01"
".",2.805263,2.7,"1997-05-01"
"Softback book",6.687476,6.99,"1997-05-01"
"Hardback book",14.28158,13,"1997-05-01"
"Hardback book",14.24853,12.99,"1997-06-01"
"Women's hair'",14.75117,14,"1997-06-01"
"Softback book",6.255094,6.49,"1997-06-01"
"Men's hair'",7.264928,6,"1997-06-01"
"Oil",3.954641,3.99,"1997-06-01"
".",2.831624,2.75,"1997-06-01"
"Softback book",6.407304,6.99,"1997-07-01"
"Hardback book",14.16712,12.99,"1997-07-01"
".",2.89322,2.8,"1997-07-01"
"Oil",3.994949,3.99,"1997-07-01"
"Men's hair'",7.378881,6,"1997-07-01"
"Women's hair'",14.85568,14,"1997-07-01"
"Men's hair'",7.452363,6,"1997-08-01"
"Hardback book",14.47289,14.99,"1997-08-01"
"Oil",4.02494,3.99,"1997-08-01"
"Softback book",6.654322,6.99,"1997-08-01"
".",2.883613,2.8,"1997-08-01"
"Women's hair'",14.92827,14,"1997-08-01"
"Softback book",6.875246,6.99,"1997-09-01"
"Hardback book",15.18838,15,"1997-09-01"
".",2.894068,2.8,"1997-09-01"
"Oil",4.050824,3.99,"1997-09-01"
"Men's hair'",7.48231,6,"1997-09-01"
"Women's hair'",14.95546,14,"1997-09-01"
"Men's hair'",7.532909,6,"1997-10-01"
"Hardback book",15.36832,14.99,"1997-10-01"
"Oil",4.07086,3.99,"1997-10-01"
"Softback book",6.878889,6.99,"1997-10-01"
".",2.930769,2.8,"1997-10-01"
